BeginDate,Type,Mw
07/10/2024 00:30,forecast,16710
07/10/2024 01:30,forecast,15890
07/10/2024 02:30,forecast,15290
07/10/2024 03:30,forecast,14970
07/10/2024 04:30,forecast,15010
07/10/2024 05:30,forecast,15510
07/10/2024 06:30,forecast,16490
07/10/2024 07:30,forecast,17440
07/10/2024 08:30,forecast,18110
07/10/2024 09:30,forecast,18480
07/10/2024 10:30,forecast,19070
07/10/2024 11:30,forecast,19820
07/10/2024 12:30,forecast,20610
07/10/2024 13:30,forecast,21240
07/10/2024 14:30,forecast,21600
07/10/2024 15:30,forecast,22240
07/10/2024 16:30,forecast,22870
07/10/2024 17:30,forecast,23190
07/10/2024 18:30,forecast,23310
07/10/2024 19:30,forecast,22750
07/10/2024 20:30,forecast,21690
07/10/2024 21:30,forecast,20600
07/10/2024 22:30,forecast,19140
07/10/2024 23:30,forecast,17590
07/10/2024 00:00,actual,17142
07/10/2024 00:05,actual,17090
07/10/2024 00:10,actual,16992
07/10/2024 00:15,actual,16897
07/10/2024 00:20,actual,16785
07/10/2024 00:25,actual,16735
07/10/2024 00:30,actual,16654
07/10/2024 00:35,actual,16562
07/10/2024 00:40,actual,16481
07/10/2024 00:45,actual,16417
07/10/2024 00:50,actual,16308
07/10/2024 00:55,actual,16260
07/10/2024 01:00,actual,16198
07/10/2024 01:05,actual,16124
07/10/2024 01:10,actual,16066
07/10/2024 01:15,actual,15995
07/10/2024 01:20,actual,15941
07/10/2024 01:25,actual,15888
07/10/2024 01:30,actual,15791
07/10/2024 01:35,actual,15759
07/10/2024 01:40,actual,15700
07/10/2024 01:45,actual,15655
07/10/2024 01:50,actual,15619
07/10/2024 01:55,actual,15529
07/10/2024 02:00,actual,15494
07/10/2024 02:05,actual,15468
07/10/2024 02:10,actual,15416
07/10/2024 02:15,actual,15380
07/10/2024 02:20,actual,15318
07/10/2024 02:25,actual,15302
07/10/2024 02:30,actual,15263
07/10/2024 02:35,actual,15200
07/10/2024 02:40,actual,15167
07/10/2024 02:45,actual,15140
07/10/2024 02:50,actual,15112
07/10/2024 02:55,actual,15075
07/10/2024 03:00,actual,15070
07/10/2024 03:05,actual,15043
07/10/2024 03:10,actual,15028
07/10/2024 03:15,actual,15014
07/10/2024 03:20,actual,15009
07/10/2024 03:25,actual,14941
07/10/2024 03:30,actual,14929
07/10/2024 03:35,actual,14910
07/10/2024 03:40,actual,14900
07/10/2024 03:45,actual,14905
07/10/2024 03:50,actual,14879
07/10/2024 03:55,actual,14857
07/10/2024 04:00,actual,14893
07/10/2024 04:05,actual,14931
07/10/2024 04:10,actual,14926
07/10/2024 04:15,actual,14967
07/10/2024 04:20,actual,14951
07/10/2024 04:25,actual,14939
07/10/2024 04:30,actual,14952
07/10/2024 04:35,actual,14998
07/10/2024 04:40,actual,15012
07/10/2024 04:45,actual,15031
07/10/2024 04:50,actual,15070
07/10/2024 04:55,actual,15084
07/10/2024 05:00,actual,15177
07/10/2024 05:05,actual,15261
07/10/2024 05:10,actual,15326
07/10/2024 05:15,actual,15361
07/10/2024 05:20,actual,15391
07/10/2024 05:25,actual,15431
07/10/2024 05:30,actual,15475
07/10/2024 05:35,actual,15542
07/10/2024 05:40,actual,15570
07/10/2024 05:45,actual,15616
07/10/2024 05:50,actual,15684
07/10/2024 05:55,actual,15756
07/10/2024 06:00,actual,15876
07/10/2024 06:05,actual,16035
07/10/2024 06:10,actual,16179
07/10/2024 06:15,actual,16239
07/10/2024 06:20,actual,16354
07/10/2024 06:25,actual,16446
07/10/2024 06:30,actual,16505
07/10/2024 06:35,actual,16551
07/10/2024 06:40,actual,16600
07/10/2024 06:45,actual,16713
07/10/2024 06:50,actual,16761
07/10/2024 06:55,actual,16858
07/10/2024 07:00,actual,16963
07/10/2024 07:05,actual,17098
07/10/2024 07:10,actual,17163
07/10/2024 07:15,actual,17280
07/10/2024 07:20,actual,17330
07/10/2024 07:25,actual,17372
07/10/2024 07:30,actual,17422
07/10/2024 07:35,actual,17453
07/10/2024 07:40,actual,17518
07/10/2024 07:45,actual,17547
07/10/2024 07:50,actual,17584
07/10/2024 07:55,actual,17685
07/10/2024 08:00,actual,17754
07/10/2024 08:05,actual,17825
07/10/2024 08:10,actual,17984
07/10/2024 08:15,actual,17969
07/10/2024 08:20,actual,18033
07/10/2024 08:25,actual,18047
07/10/2024 08:30,actual,18091
07/10/2024 08:35,actual,18140
07/10/2024 08:40,actual,18153
07/10/2024 08:45,actual,18209
07/10/2024 08:50,actual,18246
07/10/2024 08:55,actual,18314
07/10/2024 09:00,actual,18303
07/10/2024 09:05,actual,18318
07/10/2024 09:10,actual,18370
07/10/2024 09:15,actual,18387
07/10/2024 09:20,actual,18394
07/10/2024 09:25,actual,18404
07/10/2024 09:30,actual,18454
07/10/2024 09:35,actual,18544
07/10/2024 09:40,actual,18543
07/10/2024 09:45,actual,18557
07/10/2024 09:50,actual,18574
07/10/2024 09:55,actual,18600
07/10/2024 10:00,actual,18685
07/10/2024 10:05,actual,18707
07/10/2024 10:10,actual,18731
07/10/2024 10:15,actual,18839
07/10/2024 10:20,actual,18865
07/10/2024 10:25,actual,18945
07/10/2024 10:30,actual,18974
07/10/2024 10:35,actual,19060
07/10/2024 10:40,actual,19106
07/10/2024 10:45,actual,19160
07/10/2024 10:50,actual,19211
07/10/2024 10:55,actual,19314
07/10/2024 11:00,actual,19341
07/10/2024 11:05,actual,19407
07/10/2024 11:10,actual,19554
07/10/2024 11:15,actual,19610
07/10/2024 11:20,actual,19671
07/10/2024 11:25,actual,19740
07/10/2024 11:30,actual,19805
07/10/2024 11:35,actual,19862
07/10/2024 11:40,actual,19957
07/10/2024 11:45,actual,20011
07/10/2024 11:50,actual,20112
07/10/2024 11:55,actual,20187
07/10/2024 12:00,actual,20246
07/10/2024 12:05,actual,20318
07/10/2024 12:10,actual,20340
07/10/2024 12:15,actual,20381
07/10/2024 12:20,actual,20449
07/10/2024 12:25,actual,20551
07/10/2024 12:30,actual,20616
07/10/2024 12:35,actual,20688
07/10/2024 12:40,actual,20751
07/10/2024 12:45,actual,20763
07/10/2024 12:50,actual,20842
07/10/2024 12:55,actual,20961
07/10/2024 13:00,actual,20966
07/10/2024 13:05,actual,21054
07/10/2024 13:10,actual,21047
07/10/2024 13:15,actual,21144
07/10/2024 13:20,actual,21168
07/10/2024 13:25,actual,21201
07/10/2024 13:30,actual,21211
07/10/2024 13:35,actual,21217
07/10/2024 13:40,actual,21227
07/10/2024 13:45,actual,21243
07/10/2024 13:50,actual,21288
07/10/2024 13:55,actual,21336
07/10/2024 14:00,actual,21365
07/10/2024 14:05,actual,21325
07/10/2024 14:10,actual,21379
07/10/2024 14:15,actual,21452
07/10/2024 14:20,actual,21456
07/10/2024 14:25,actual,21563
07/10/2024 14:30,actual,21596
07/10/2024 14:35,actual,21627
07/10/2024 14:40,actual,21641
07/10/2024 14:45,actual,21716
07/10/2024 14:50,actual,21725
07/10/2024 14:55,actual,21782
07/10/2024 15:00,actual,21791
07/10/2024 15:05,actual,21864
07/10/2024 15:10,actual,21886
