BeginDate,Type,Mw
07/12/2024 00:30,forecast,15900
07/12/2024 01:30,forecast,14930
07/12/2024 02:30,forecast,14290
07/12/2024 03:30,forecast,13890
07/12/2024 04:30,forecast,13860
07/12/2024 05:30,forecast,14250
07/12/2024 06:30,forecast,15160
07/12/2024 07:30,forecast,16090
07/12/2024 08:30,forecast,16680
07/12/2024 09:30,forecast,16810
07/12/2024 10:30,forecast,17140
07/12/2024 11:30,forecast,18090
07/12/2024 12:30,forecast,18900
07/12/2024 13:30,forecast,19340
07/12/2024 14:30,forecast,19410
07/12/2024 15:30,forecast,19590
07/12/2024 16:30,forecast,20510
07/12/2024 17:30,forecast,21230
07/12/2024 18:30,forecast,21400
07/12/2024 19:30,forecast,21040
07/12/2024 20:30,forecast,20510
07/12/2024 21:30,forecast,19690
07/12/2024 22:30,forecast,18580
07/12/2024 23:30,forecast,17190
07/12/2024 00:00,actual,16443
07/12/2024 00:05,actual,16343
07/12/2024 00:10,actual,16181
07/12/2024 00:15,actual,16092
07/12/2024 00:20,actual,15991
07/12/2024 00:25,actual,15939
07/12/2024 00:30,actual,15828
07/12/2024 00:35,actual,15743
07/12/2024 00:40,actual,15645
07/12/2024 00:45,actual,15574
07/12/2024 00:50,actual,15493
07/12/2024 00:55,actual,15377
07/12/2024 01:00,actual,15281
07/12/2024 01:05,actual,15230
07/12/2024 01:10,actual,15162
07/12/2024 01:15,actual,15102
07/12/2024 01:20,actual,14958
07/12/2024 01:25,actual,14936
07/12/2024 01:30,actual,14865
07/12/2024 01:35,actual,14816
07/12/2024 01:40,actual,14757
07/12/2024 01:45,actual,14697
07/12/2024 01:50,actual,14630
07/12/2024 01:55,actual,14553
07/12/2024 02:00,actual,14527
07/12/2024 02:05,actual,14476
07/12/2024 02:10,actual,14410
07/12/2024 02:15,actual,14443
07/12/2024 02:20,actual,14357
07/12/2024 02:25,actual,14296
07/12/2024 02:30,actual,14259
07/12/2024 02:35,actual,14223
07/12/2024 02:40,actual,14169
07/12/2024 02:45,actual,14136
07/12/2024 02:50,actual,14089
07/12/2024 02:55,actual,14056
07/12/2024 03:00,actual,14028
07/12/2024 03:05,actual,13898
07/12/2024 03:10,actual,13976
07/12/2024 03:15,actual,13946
07/12/2024 03:20,actual,13935
07/12/2024 03:25,actual,13910
07/12/2024 03:30,actual,13869
07/12/2024 03:35,actual,13854
07/12/2024 03:40,actual,13819
07/12/2024 03:45,actual,13793
07/12/2024 03:50,actual,13789
07/12/2024 03:55,actual,13770
07/12/2024 04:00,actual,13772
07/12/2024 04:05,actual,13829
07/12/2024 04:10,actual,13845
07/12/2024 04:15,actual,13830
07/12/2024 04:20,actual,13821
07/12/2024 04:25,actual,13832
07/12/2024 04:30,actual,13816
07/12/2024 04:35,actual,13865
07/12/2024 04:40,actual,13856
07/12/2024 04:45,actual,13862
07/12/2024 04:50,actual,13901
07/12/2024 04:55,actual,13926
07/12/2024 05:00,actual,13975
07/12/2024 05:05,actual,14054
07/12/2024 05:10,actual,14093
07/12/2024 05:15,actual,14157
07/12/2024 05:20,actual,14156
07/12/2024 05:25,actual,14208
07/12/2024 05:30,actual,14195
07/12/2024 05:35,actual,14293
07/12/2024 05:40,actual,14294
07/12/2024 05:45,actual,14313
07/12/2024 05:50,actual,14372
07/12/2024 05:55,actual,14450
07/12/2024 06:00,actual,14573
07/12/2024 06:05,actual,14783
07/12/2024 06:10,actual,14907
07/12/2024 06:15,actual,15020
