BeginDate,Type,Mw
07/03/2024 00:30,forecast,12210
07/03/2024 01:30,forecast,11450
07/03/2024 02:30,forecast,10950
07/03/2024 03:30,forecast,10690
07/03/2024 04:30,forecast,10740
07/03/2024 05:30,forecast,11060
07/03/2024 06:30,forecast,11770
07/03/2024 07:30,forecast,12260
07/03/2024 08:30,forecast,12310
07/03/2024 09:30,forecast,12250
07/03/2024 10:30,forecast,12280
07/03/2024 11:30,forecast,12550
07/03/2024 12:30,forecast,12830
07/03/2024 13:30,forecast,13320
07/03/2024 14:30,forecast,13850
07/03/2024 15:30,forecast,14640
07/03/2024 16:30,forecast,15690
07/03/2024 17:30,forecast,16660
07/03/2024 18:30,forecast,17200
07/03/2024 19:30,forecast,16940
07/03/2024 20:30,forecast,16390
07/03/2024 21:30,forecast,15730
07/03/2024 22:30,forecast,14510
07/03/2024 23:30,forecast,13200
07/03/2024 00:00,actual,12631
07/03/2024 00:05,actual,12591
07/03/2024 00:10,actual,12484
07/03/2024 00:15,actual,12430
07/03/2024 00:20,actual,12333
07/03/2024 00:25,actual,12236
07/03/2024 00:30,actual,12137
07/03/2024 00:35,actual,12098
07/03/2024 00:40,actual,12014
07/03/2024 00:45,actual,11954
07/03/2024 00:50,actual,11873
07/03/2024 00:55,actual,11817
07/03/2024 01:00,actual,11732
07/03/2024 01:05,actual,11706
07/03/2024 01:10,actual,11611
07/03/2024 01:15,actual,11540
07/03/2024 01:20,actual,11510
07/03/2024 01:25,actual,11425
07/03/2024 01:30,actual,11397
07/03/2024 01:35,actual,11357
07/03/2024 01:40,actual,11304
07/03/2024 01:45,actual,11258
07/03/2024 01:50,actual,11209
07/03/2024 01:55,actual,11141
07/03/2024 02:00,actual,11086
07/03/2024 02:05,actual,11098
07/03/2024 02:10,actual,11059
07/03/2024 02:15,actual,11019
07/03/2024 02:20,actual,10990
07/03/2024 02:25,actual,10944
07/03/2024 02:30,actual,10913
07/03/2024 02:35,actual,10879
07/03/2024 02:40,actual,10842
07/03/2024 02:45,actual,10826
07/03/2024 02:50,actual,10801
07/03/2024 02:55,actual,10772
07/03/2024 03:00,actual,10739
07/03/2024 03:05,actual,10747
07/03/2024 03:10,actual,10734
07/03/2024 03:15,actual,10727
07/03/2024 03:20,actual,10669
07/03/2024 03:25,actual,10669
07/03/2024 03:30,actual,10666
07/03/2024 03:35,actual,10639
07/03/2024 03:40,actual,10629
07/03/2024 03:45,actual,10620
