BeginDate,Type,Mw
06/29/2024 00:30,forecast,10990
06/29/2024 01:30,forecast,10540
06/29/2024 02:30,forecast,10180
06/29/2024 03:30,forecast,9990
06/29/2024 04:30,forecast,9990
06/29/2024 05:30,forecast,10000
06/29/2024 06:30,forecast,10110
06/29/2024 07:30,forecast,10410
06/29/2024 08:30,forecast,11310
06/29/2024 09:30,forecast,11350
06/29/2024 10:30,forecast,11530
06/29/2024 11:30,forecast,11890
06/29/2024 12:30,forecast,12130
06/29/2024 13:30,forecast,12200
06/29/2024 14:30,forecast,12420
06/29/2024 15:30,forecast,12700
06/29/2024 16:30,forecast,13160
06/29/2024 17:30,forecast,13940
06/29/2024 18:30,forecast,14380
06/29/2024 19:30,forecast,14490
06/29/2024 20:30,forecast,14540
06/29/2024 21:30,forecast,14190
06/29/2024 22:30,forecast,13360
06/29/2024 23:30,forecast,12540
06/29/2024 00:00,actual,11429
06/29/2024 00:05,actual,11357
06/29/2024 00:10,actual,11280
06/29/2024 00:15,actual,11242
06/29/2024 00:20,actual,11232
06/29/2024 00:25,actual,11146
06/29/2024 00:30,actual,11075
06/29/2024 00:35,actual,10988
06/29/2024 00:40,actual,10977
06/29/2024 00:45,actual,10913
06/29/2024 00:50,actual,10871
06/29/2024 00:55,actual,10811
06/29/2024 01:00,actual,10790
06/29/2024 01:05,actual,10714
06/29/2024 01:10,actual,10709
06/29/2024 01:15,actual,10678
06/29/2024 01:20,actual,10652
06/29/2024 01:25,actual,10577
06/29/2024 01:30,actual,10553
06/29/2024 01:35,actual,10530
06/29/2024 01:40,actual,10467
06/29/2024 01:45,actual,10463
06/29/2024 01:50,actual,10627
06/29/2024 01:55,actual,10349
06/29/2024 02:00,actual,10344
06/29/2024 02:05,actual,10293
06/29/2024 02:10,actual,10313
06/29/2024 02:15,actual,10266
06/29/2024 02:20,actual,10245
06/29/2024 02:25,actual,10217
06/29/2024 02:30,actual,10214
06/29/2024 02:35,actual,10177
06/29/2024 02:40,actual,10135
06/29/2024 02:45,actual,10133
06/29/2024 02:50,actual,10092
06/29/2024 02:55,actual,10090
06/29/2024 03:00,actual,10088
06/29/2024 03:05,actual,10083
06/29/2024 03:10,actual,10104
06/29/2024 03:15,actual,10032
06/29/2024 03:20,actual,10045
06/29/2024 03:25,actual,10034
06/29/2024 03:30,actual,10002
06/29/2024 03:35,actual,10007
06/29/2024 03:40,actual,9982
06/29/2024 03:45,actual,9986
06/29/2024 03:50,actual,9982
06/29/2024 03:55,actual,9963
06/29/2024 04:00,actual,9985
06/29/2024 04:05,actual,10009
06/29/2024 04:10,actual,10010
06/29/2024 04:15,actual,10007
06/29/2024 04:20,actual,10029
06/29/2024 04:25,actual,10006
06/29/2024 04:30,actual,10008
06/29/2024 04:35,actual,10013
06/29/2024 04:40,actual,10028
06/29/2024 04:45,actual,10045
06/29/2024 04:50,actual,10042
06/29/2024 04:55,actual,10052
06/29/2024 05:00,actual,10123
06/29/2024 05:05,actual,10162
06/29/2024 05:10,actual,10110
06/29/2024 05:15,actual,10129
06/29/2024 05:20,actual,10099
06/29/2024 05:25,actual,10107
06/29/2024 05:30,actual,10132
06/29/2024 05:35,actual,10116
06/29/2024 05:40,actual,10129
06/29/2024 05:45,actual,10102
06/29/2024 05:50,actual,10110
06/29/2024 05:55,actual,10107
06/29/2024 06:00,actual,10194
06/29/2024 06:05,actual,10225
06/29/2024 06:10,actual,10257
06/29/2024 06:15,actual,10310
06/29/2024 06:20,actual,10324
06/29/2024 06:25,actual,10304
06/29/2024 06:30,actual,10351
06/29/2024 06:35,actual,10383
06/29/2024 06:40,actual,10416
06/29/2024 06:45,actual,10415
06/29/2024 06:50,actual,10433
06/29/2024 06:55,actual,10449
06/29/2024 07:00,actual,10511
06/29/2024 07:05,actual,10617
06/29/2024 07:10,actual,10677
06/29/2024 07:15,actual,10705
06/29/2024 07:20,actual,10769
06/29/2024 07:25,actual,10818
06/29/2024 07:30,actual,10834
06/29/2024 07:35,actual,10862
06/29/2024 07:40,actual,10948
06/29/2024 07:45,actual,10964
06/29/2024 07:50,actual,11019
06/29/2024 07:55,actual,11055
06/29/2024 08:00,actual,11092
06/29/2024 08:05,actual,11192
06/29/2024 08:10,actual,11235
06/29/2024 08:15,actual,11269
06/29/2024 08:20,actual,11324
06/29/2024 08:25,actual,11357
06/29/2024 08:30,actual,11411
06/29/2024 08:35,actual,11433
06/29/2024 08:40,actual,11418
06/29/2024 08:45,actual,11485
06/29/2024 08:50,actual,11503
06/29/2024 08:55,actual,11487
06/29/2024 09:00,actual,11477
06/29/2024 09:05,actual,11539
06/29/2024 09:10,actual,11566
06/29/2024 09:15,actual,11609
06/29/2024 09:20,actual,11632
06/29/2024 09:25,actual,11646
06/29/2024 09:30,actual,11659
06/29/2024 09:35,actual,11694
06/29/2024 09:40,actual,11731
06/29/2024 09:45,actual,11736
06/29/2024 09:50,actual,11765
06/29/2024 09:55,actual,11763
06/29/2024 10:00,actual,11789
06/29/2024 10:05,actual,11839
06/29/2024 10:10,actual,11907
06/29/2024 10:15,actual,11867
06/29/2024 10:20,actual,11864
06/29/2024 10:25,actual,11921
06/29/2024 10:30,actual,11960
06/29/2024 10:35,actual,11964
06/29/2024 10:40,actual,11949
06/29/2024 10:45,actual,11991
06/29/2024 10:50,actual,12029
06/29/2024 10:55,actual,12027
06/29/2024 11:00,actual,12052
06/29/2024 11:05,actual,12050
06/29/2024 11:10,actual,12043
06/29/2024 11:15,actual,12051
06/29/2024 11:20,actual,12081
06/29/2024 11:25,actual,12087
06/29/2024 11:30,actual,12164
06/29/2024 11:35,actual,12210
06/29/2024 11:40,actual,12212
06/29/2024 11:45,actual,12217
06/29/2024 11:50,actual,12246
06/29/2024 11:55,actual,12247
06/29/2024 12:00,actual,12252
06/29/2024 12:05,actual,12244
06/29/2024 12:10,actual,12269
06/29/2024 12:15,actual,12291
06/29/2024 12:20,actual,12269
06/29/2024 12:25,actual,12289
06/29/2024 12:30,actual,12334
06/29/2024 12:35,actual,12323
06/29/2024 12:40,actual,12320
06/29/2024 12:45,actual,12299
06/29/2024 12:50,actual,12253
06/29/2024 12:55,actual,12263
06/29/2024 13:00,actual,12213
06/29/2024 13:05,actual,12181
06/29/2024 13:10,actual,12160
06/29/2024 13:15,actual,12082
06/29/2024 13:20,actual,12003
06/29/2024 13:25,actual,12020
06/29/2024 13:30,actual,11980
06/29/2024 13:35,actual,11884
06/29/2024 13:40,actual,11857
06/29/2024 13:45,actual,11827
06/29/2024 13:50,actual,11801
06/29/2024 13:55,actual,11739
06/29/2024 14:00,actual,11776
06/29/2024 14:05,actual,11704
06/29/2024 14:10,actual,11737
06/29/2024 14:15,actual,11773
06/29/2024 14:20,actual,11807
06/29/2024 14:25,actual,11828
06/29/2024 14:30,actual,11847
06/29/2024 14:35,actual,11851
06/29/2024 14:40,actual,11838
06/29/2024 14:45,actual,11900
06/29/2024 14:50,actual,11971
06/29/2024 14:55,actual,12041
06/29/2024 15:00,actual,12060
06/29/2024 15:05,actual,12131
06/29/2024 15:10,actual,12146
06/29/2024 15:15,actual,12151
06/29/2024 15:20,actual,12171
06/29/2024 15:25,actual,12229
06/29/2024 15:30,actual,12274
06/29/2024 15:35,actual,12371
06/29/2024 15:40,actual,12446
06/29/2024 15:45,actual,12473
06/29/2024 15:50,actual,12545
06/29/2024 15:55,actual,12615
06/29/2024 16:00,actual,12655
06/29/2024 16:05,actual,12736
06/29/2024 16:10,actual,12781
06/29/2024 16:15,actual,12881
06/29/2024 16:20,actual,12958
06/29/2024 16:25,actual,12989
06/29/2024 16:30,actual,13044
06/29/2024 16:35,actual,13100
06/29/2024 16:40,actual,13181
06/29/2024 16:45,actual,13241
06/29/2024 16:50,actual,13275
06/29/2024 16:55,actual,13352
06/29/2024 17:00,actual,13384
06/29/2024 17:05,actual,13412
06/29/2024 17:10,actual,13523
06/29/2024 17:15,actual,13580
06/29/2024 17:20,actual,13629
06/29/2024 17:25,actual,13671
06/29/2024 17:30,actual,13723
06/29/2024 17:35,actual,13735
06/29/2024 17:40,actual,13800
06/29/2024 17:45,actual,13861
06/29/2024 17:50,actual,13927
06/29/2024 17:55,actual,13962
06/29/2024 18:00,actual,14011
06/29/2024 18:05,actual,14040
06/29/2024 18:10,actual,14032
06/29/2024 18:15,actual,14042
06/29/2024 18:20,actual,14064
06/29/2024 18:25,actual,14097
06/29/2024 18:30,actual,14091
06/29/2024 18:35,actual,14119
06/29/2024 18:40,actual,14163
06/29/2024 18:45,actual,14175
06/29/2024 18:50,actual,14195
06/29/2024 18:55,actual,14167
06/29/2024 19:00,actual,14224
06/29/2024 19:05,actual,14171
06/29/2024 19:10,actual,14186
06/29/2024 19:15,actual,14238
06/29/2024 19:20,actual,14250
06/29/2024 19:25,actual,14240
06/29/2024 19:30,actual,14234
06/29/2024 19:35,actual,14253
06/29/2024 19:40,actual,14272
06/29/2024 19:45,actual,14252
06/29/2024 19:50,actual,14248
06/29/2024 19:55,actual,14234
06/29/2024 20:00,actual,14296
06/29/2024 20:05,actual,14288
06/29/2024 20:10,actual,14275
06/29/2024 20:15,actual,14311
06/29/2024 20:20,actual,14345
06/29/2024 20:25,actual,14358
06/29/2024 20:30,actual,14357
06/29/2024 20:35,actual,14328
06/29/2024 20:40,actual,14343
06/29/2024 20:45,actual,14374
06/29/2024 20:50,actual,14308
06/29/2024 20:55,actual,14311
06/29/2024 21:00,actual,14290
06/29/2024 21:05,actual,14227
06/29/2024 21:10,actual,14259
06/29/2024 21:15,actual,14188
06/29/2024 21:20,actual,14200
06/29/2024 21:25,actual,14139
06/29/2024 21:30,actual,14112
06/29/2024 21:35,actual,14112
06/29/2024 21:40,actual,14086
06/29/2024 21:45,actual,13999
06/29/2024 21:50,actual,13995
06/29/2024 21:55,actual,13949
06/29/2024 22:00,actual,13898
06/29/2024 22:05,actual,13805
06/29/2024 22:10,actual,13737
06/29/2024 22:15,actual,13730
06/29/2024 22:20,actual,13687
06/29/2024 22:25,actual,13633
06/29/2024 22:30,actual,13585
06/29/2024 22:35,actual,13532
06/29/2024 22:40,actual,13493
06/29/2024 22:45,actual,13403
06/29/2024 22:50,actual,13347
06/29/2024 22:55,actual,13323
06/29/2024 23:00,actual,13179
06/29/2024 23:05,actual,13138
06/29/2024 23:10,actual,13076
06/29/2024 23:15,actual,13094
06/29/2024 23:20,actual,13057
06/29/2024 23:25,actual,12941
06/29/2024 23:30,actual,12890
06/29/2024 23:35,actual,12814
06/29/2024 23:40,actual,12812
06/29/2024 23:45,actual,12775
06/29/2024 23:50,actual,12713
06/29/2024 23:55,actual,12659
