BeginDate,Type,Mw
06/26/2024 00:30,forecast,13700
06/26/2024 01:30,forecast,12820
06/26/2024 02:30,forecast,12380
06/26/2024 03:30,forecast,12150
06/26/2024 04:30,forecast,12350
06/26/2024 05:30,forecast,12740
06/26/2024 06:30,forecast,13690
06/26/2024 07:30,forecast,14290
06/26/2024 08:30,forecast,14230
06/26/2024 09:30,forecast,14490
06/26/2024 10:30,forecast,15060
06/26/2024 11:30,forecast,15600
06/26/2024 12:30,forecast,16010
06/26/2024 13:30,forecast,17620
06/26/2024 14:30,forecast,18600
06/26/2024 15:30,forecast,19460
06/26/2024 16:30,forecast,20300
06/26/2024 17:30,forecast,20700
06/26/2024 18:30,forecast,20750
06/26/2024 19:30,forecast,20370
06/26/2024 20:30,forecast,19630
06/26/2024 21:30,forecast,18700
06/26/2024 22:30,forecast,17160
06/26/2024 23:30,forecast,15660
06/26/2024 00:00,actual,14278
06/26/2024 00:05,actual,14204
06/26/2024 00:10,actual,14085
06/26/2024 00:15,actual,14018
06/26/2024 00:20,actual,13956
06/26/2024 00:25,actual,13859
06/26/2024 00:30,actual,13791
06/26/2024 00:35,actual,13700
06/26/2024 00:40,actual,13627
06/26/2024 00:45,actual,13586
06/26/2024 00:50,actual,13459
06/26/2024 00:55,actual,13416
06/26/2024 01:00,actual,13308
06/26/2024 01:05,actual,13284
06/26/2024 01:10,actual,13206
06/26/2024 01:15,actual,13182
06/26/2024 01:20,actual,13088
06/26/2024 01:25,actual,13044
06/26/2024 01:30,actual,12982
06/26/2024 01:35,actual,12937
06/26/2024 01:40,actual,12877
06/26/2024 01:45,actual,12817
06/26/2024 01:50,actual,12777
06/26/2024 01:55,actual,12737
06/26/2024 02:00,actual,12651
06/26/2024 02:05,actual,12637
06/26/2024 02:10,actual,12610
06/26/2024 02:15,actual,12584
06/26/2024 02:20,actual,12526
06/26/2024 02:25,actual,12497
06/26/2024 02:30,actual,12467
06/26/2024 02:35,actual,12408
06/26/2024 02:40,actual,12356
06/26/2024 02:45,actual,12334
06/26/2024 02:50,actual,12308
06/26/2024 02:55,actual,12268
06/26/2024 03:00,actual,12266
06/26/2024 03:05,actual,12244
06/26/2024 03:10,actual,12231
06/26/2024 03:15,actual,12203
06/26/2024 03:20,actual,12188
06/26/2024 03:25,actual,12145
06/26/2024 03:30,actual,12143
06/26/2024 03:35,actual,12118
06/26/2024 03:40,actual,12097
06/26/2024 03:45,actual,12094
06/26/2024 03:50,actual,12075
06/26/2024 03:55,actual,12058
06/26/2024 04:00,actual,12099
06/26/2024 04:05,actual,12170
06/26/2024 04:10,actual,12143
06/26/2024 04:15,actual,12161
06/26/2024 04:20,actual,12169
06/26/2024 04:25,actual,12160
06/26/2024 04:30,actual,12182
06/26/2024 04:35,actual,12226
06/26/2024 04:40,actual,12210
06/26/2024 04:45,actual,12258
06/26/2024 04:50,actual,12275
06/26/2024 04:55,actual,12268
06/26/2024 05:00,actual,12321
06/26/2024 05:05,actual,12407
06/26/2024 05:10,actual,12484
06/26/2024 05:15,actual,12510
06/26/2024 05:20,actual,12544
06/26/2024 05:25,actual,12560
06/26/2024 05:30,actual,12595
06/26/2024 05:35,actual,12655
06/26/2024 05:40,actual,12686
06/26/2024 05:45,actual,12703
06/26/2024 05:50,actual,12742
06/26/2024 05:55,actual,12801
06/26/2024 06:00,actual,12927
06/26/2024 06:05,actual,13094
06/26/2024 06:10,actual,13199
06/26/2024 06:15,actual,13297
06/26/2024 06:20,actual,13418
06/26/2024 06:25,actual,13407
06/26/2024 06:30,actual,13513
06/26/2024 06:35,actual,13557
06/26/2024 06:40,actual,13635
06/26/2024 06:45,actual,13680
06/26/2024 06:50,actual,13696
06/26/2024 06:55,actual,13738
06/26/2024 07:00,actual,13869
06/26/2024 07:05,actual,13984
06/26/2024 07:10,actual,14019
06/26/2024 07:15,actual,14017
06/26/2024 07:20,actual,14140
06/26/2024 07:25,actual,14103
06/26/2024 07:30,actual,14166
06/26/2024 07:35,actual,14144
06/26/2024 07:40,actual,14264
06/26/2024 07:45,actual,14273
06/26/2024 07:50,actual,14311
06/26/2024 07:55,actual,14317
06/26/2024 08:00,actual,14349
06/26/2024 08:05,actual,14396
06/26/2024 08:10,actual,14436
06/26/2024 08:15,actual,14435
06/26/2024 08:20,actual,14423
06/26/2024 08:25,actual,14419
06/26/2024 08:30,actual,14425
06/26/2024 08:35,actual,14419
06/26/2024 08:40,actual,14439
06/26/2024 08:45,actual,14465
06/26/2024 08:50,actual,14464
06/26/2024 08:55,actual,14480
06/26/2024 09:00,actual,14497
06/26/2024 09:05,actual,14553
06/26/2024 09:10,actual,14556
06/26/2024 09:15,actual,14550
06/26/2024 09:20,actual,14593
06/26/2024 09:25,actual,14599
06/26/2024 09:30,actual,14643
