BeginDate,Type,Mw
07/01/2024 00:30,forecast,12830
07/01/2024 01:30,forecast,12100
07/01/2024 02:30,forecast,11590
07/01/2024 03:30,forecast,11290
07/01/2024 04:30,forecast,11310
07/01/2024 05:30,forecast,11710
07/01/2024 06:30,forecast,12450
07/01/2024 07:30,forecast,12900
07/01/2024 08:30,forecast,12810
07/01/2024 09:30,forecast,12520
07/01/2024 10:30,forecast,12560
07/01/2024 11:30,forecast,12910
07/01/2024 12:30,forecast,13270
07/01/2024 13:30,forecast,13500
07/01/2024 14:30,forecast,13680
07/01/2024 15:30,forecast,14090
07/01/2024 16:30,forecast,14830
07/01/2024 17:30,forecast,15870
07/01/2024 18:30,forecast,16720
07/01/2024 19:30,forecast,16800
07/01/2024 20:30,forecast,16330
07/01/2024 21:30,forecast,15600
07/01/2024 22:30,forecast,14300
07/01/2024 23:30,forecast,12980
07/01/2024 00:00,actual,13194
07/01/2024 00:05,actual,13137
07/01/2024 00:10,actual,13091
07/01/2024 00:15,actual,13001
07/01/2024 00:20,actual,12929
07/01/2024 00:25,actual,12876
07/01/2024 00:30,actual,12775
07/01/2024 00:35,actual,12704
07/01/2024 00:40,actual,12643
07/01/2024 00:45,actual,12571
07/01/2024 00:50,actual,12511
07/01/2024 00:55,actual,12457
07/01/2024 01:00,actual,12436
07/01/2024 01:05,actual,12364
07/01/2024 01:10,actual,12286
07/01/2024 01:15,actual,12223
07/01/2024 01:20,actual,12180
07/01/2024 01:25,actual,12086
07/01/2024 01:30,actual,12045
07/01/2024 01:35,actual,11994
07/01/2024 01:40,actual,11956
07/01/2024 01:45,actual,11900
07/01/2024 01:50,actual,11882
07/01/2024 01:55,actual,11818
07/01/2024 02:00,actual,11793
07/01/2024 02:05,actual,11743
07/01/2024 02:10,actual,11726
07/01/2024 02:15,actual,11664
07/01/2024 02:20,actual,11643
07/01/2024 02:25,actual,11597
07/01/2024 02:30,actual,11549
07/01/2024 02:35,actual,11510
07/01/2024 02:40,actual,11494
07/01/2024 02:45,actual,11464
07/01/2024 02:50,actual,11432
07/01/2024 02:55,actual,11387
07/01/2024 03:00,actual,11366
07/01/2024 03:05,actual,11381
07/01/2024 03:10,actual,11338
07/01/2024 03:15,actual,11335
07/01/2024 03:20,actual,11339
07/01/2024 03:25,actual,11301
07/01/2024 03:30,actual,11273
07/01/2024 03:35,actual,11258
07/01/2024 03:40,actual,11233
07/01/2024 03:45,actual,11223
07/01/2024 03:50,actual,11215
07/01/2024 03:55,actual,11210
07/01/2024 04:00,actual,11208
07/01/2024 04:05,actual,11264
07/01/2024 04:10,actual,11263
07/01/2024 04:15,actual,11288
07/01/2024 04:20,actual,11240
07/01/2024 04:25,actual,11282
07/01/2024 04:30,actual,11280
07/01/2024 04:35,actual,11340
07/01/2024 04:40,actual,11314
07/01/2024 04:45,actual,11340
07/01/2024 04:50,actual,11359
07/01/2024 04:55,actual,11393
07/01/2024 05:00,actual,11459
07/01/2024 05:05,actual,11563
07/01/2024 05:10,actual,11589
07/01/2024 05:15,actual,11599
07/01/2024 05:20,actual,11598
07/01/2024 05:25,actual,11623
07/01/2024 05:30,actual,11659
07/01/2024 05:35,actual,11699
07/01/2024 05:40,actual,11731
07/01/2024 05:45,actual,11783
07/01/2024 05:50,actual,11820
07/01/2024 05:55,actual,11892
07/01/2024 06:00,actual,12003
07/01/2024 06:05,actual,12143
07/01/2024 06:10,actual,12229
07/01/2024 06:15,actual,12282
07/01/2024 06:20,actual,12355
07/01/2024 06:25,actual,12394
07/01/2024 06:30,actual,12470
07/01/2024 06:35,actual,12500
07/01/2024 06:40,actual,12551
07/01/2024 06:45,actual,12570
07/01/2024 06:50,actual,12572
07/01/2024 06:55,actual,12623
07/01/2024 07:00,actual,12671
07/01/2024 07:05,actual,12810
07/01/2024 07:10,actual,12833
07/01/2024 07:15,actual,12877
07/01/2024 07:20,actual,12869
07/01/2024 07:25,actual,12886
07/01/2024 07:30,actual,12892
07/01/2024 07:35,actual,12879
07/01/2024 07:40,actual,12837
07/01/2024 07:45,actual,12882
07/01/2024 07:50,actual,12854
07/01/2024 07:55,actual,12834
07/01/2024 08:00,actual,12875
07/01/2024 08:05,actual,12889
07/01/2024 08:10,actual,12914
07/01/2024 08:15,actual,12914
07/01/2024 08:20,actual,12836
07/01/2024 08:25,actual,12802
07/01/2024 08:30,actual,12753
07/01/2024 08:35,actual,12716
07/01/2024 08:40,actual,12697
07/01/2024 08:45,actual,12699
07/01/2024 08:50,actual,12667
07/01/2024 08:55,actual,12655
07/01/2024 09:00,actual,12581
07/01/2024 09:05,actual,12545
07/01/2024 09:10,actual,12502
07/01/2024 09:15,actual,12516
07/01/2024 09:20,actual,12508
07/01/2024 09:25,actual,12488
07/01/2024 09:30,actual,12491
07/01/2024 09:35,actual,12443
07/01/2024 09:40,actual,12442
07/01/2024 09:45,actual,12384
07/01/2024 09:50,actual,12351
07/01/2024 09:55,actual,12439
07/01/2024 10:00,actual,12389
07/01/2024 10:05,actual,12414
07/01/2024 10:10,actual,12409
07/01/2024 10:15,actual,12435
07/01/2024 10:20,actual,12443
07/01/2024 10:25,actual,12470
07/01/2024 10:30,actual,12450
07/01/2024 10:35,actual,12470
07/01/2024 10:40,actual,12503
07/01/2024 10:45,actual,12591
07/01/2024 10:50,actual,12662
07/01/2024 10:55,actual,12680
07/01/2024 11:00,actual,12669
07/01/2024 11:05,actual,12668
07/01/2024 11:10,actual,12786
07/01/2024 11:15,actual,12787
07/01/2024 11:20,actual,12803
07/01/2024 11:25,actual,12840
07/01/2024 11:30,actual,12853
07/01/2024 11:35,actual,12910
07/01/2024 11:40,actual,12916
07/01/2024 11:45,actual,12938
07/01/2024 11:50,actual,13047
07/01/2024 11:55,actual,13036
07/01/2024 12:00,actual,13046
07/01/2024 12:05,actual,13075
07/01/2024 12:10,actual,13084
07/01/2024 12:15,actual,13084
07/01/2024 12:20,actual,13116
07/01/2024 12:25,actual,13212
07/01/2024 12:30,actual,13208
07/01/2024 12:35,actual,13227
07/01/2024 12:40,actual,13275
07/01/2024 12:45,actual,13247
07/01/2024 12:50,actual,13333
07/01/2024 12:55,actual,13411
07/01/2024 13:00,actual,13436
07/01/2024 13:05,actual,13410
07/01/2024 13:10,actual,13408
07/01/2024 13:15,actual,13418
07/01/2024 13:20,actual,13483
07/01/2024 13:25,actual,13390
07/01/2024 13:30,actual,13457
07/01/2024 13:35,actual,13401
07/01/2024 13:40,actual,13443
07/01/2024 13:45,actual,13425
07/01/2024 13:50,actual,13497
07/01/2024 13:55,actual,13519
07/01/2024 14:00,actual,13547
07/01/2024 14:05,actual,13556
07/01/2024 14:10,actual,13573
