BeginDate,Type,Mw
07/05/2024 00:30,forecast,13500
07/05/2024 01:30,forecast,12840
07/05/2024 02:30,forecast,12410
07/05/2024 03:30,forecast,12100
07/05/2024 04:30,forecast,12140
07/05/2024 05:30,forecast,12400
07/05/2024 06:30,forecast,13330
07/05/2024 07:30,forecast,13790
07/05/2024 08:30,forecast,14070
07/05/2024 09:30,forecast,15140
07/05/2024 10:30,forecast,14990
07/05/2024 11:30,forecast,15470
07/05/2024 12:30,forecast,16030
07/05/2024 13:30,forecast,16570
07/05/2024 14:30,forecast,17290
07/05/2024 15:30,forecast,18170
07/05/2024 16:30,forecast,19420
07/05/2024 17:30,forecast,19800
07/05/2024 18:30,forecast,19900
07/05/2024 19:30,forecast,19440
07/05/2024 20:30,forecast,18800
07/05/2024 21:30,forecast,18000
07/05/2024 22:30,forecast,16410
07/05/2024 23:30,forecast,15210
07/05/2024 00:00,actual,13846
07/05/2024 00:05,actual,13774
07/05/2024 00:10,actual,13694
07/05/2024 00:15,actual,13643
07/05/2024 00:20,actual,13557
07/05/2024 00:25,actual,13507
07/05/2024 00:30,actual,13468
07/05/2024 00:35,actual,13353
07/05/2024 00:40,actual,13329
07/05/2024 00:45,actual,13264
07/05/2024 00:50,actual,13192
07/05/2024 00:55,actual,13155
07/05/2024 01:00,actual,13085
07/05/2024 01:05,actual,13037
07/05/2024 01:10,actual,13003
07/05/2024 01:15,actual,12956
07/05/2024 01:20,actual,12882
07/05/2024 01:25,actual,12832
07/05/2024 01:30,actual,12786
07/05/2024 01:35,actual,12747
07/05/2024 01:40,actual,12720
07/05/2024 01:45,actual,12680
07/05/2024 01:50,actual,12667
07/05/2024 01:55,actual,12570
07/05/2024 02:00,actual,12552
07/05/2024 02:05,actual,12542
07/05/2024 02:10,actual,12506
07/05/2024 02:15,actual,12457
07/05/2024 02:20,actual,12443
07/05/2024 02:25,actual,12415
07/05/2024 02:30,actual,12387
07/05/2024 02:35,actual,12355
07/05/2024 02:40,actual,12308
07/05/2024 02:45,actual,12300
07/05/2024 02:50,actual,12260
07/05/2024 02:55,actual,12266
07/05/2024 03:00,actual,12264
07/05/2024 03:05,actual,12275
07/05/2024 03:10,actual,12254
07/05/2024 03:15,actual,12256
07/05/2024 03:20,actual,12256
07/05/2024 03:25,actual,12201
07/05/2024 03:30,actual,12192
07/05/2024 03:35,actual,12192
07/05/2024 03:40,actual,12197
07/05/2024 03:45,actual,12180
07/05/2024 03:50,actual,12151
07/05/2024 03:55,actual,12141
07/05/2024 04:00,actual,12192
07/05/2024 04:05,actual,12214
07/05/2024 04:10,actual,12237
07/05/2024 04:15,actual,12235
07/05/2024 04:20,actual,12252
07/05/2024 04:25,actual,12253
07/05/2024 04:30,actual,12276
07/05/2024 04:35,actual,12305
07/05/2024 04:40,actual,12291
07/05/2024 04:45,actual,12315
07/05/2024 04:50,actual,12331
07/05/2024 04:55,actual,12379
07/05/2024 05:00,actual,12394
07/05/2024 05:05,actual,12512
07/05/2024 05:10,actual,12588
07/05/2024 05:15,actual,12618
07/05/2024 05:20,actual,12623
07/05/2024 05:25,actual,12602
07/05/2024 05:30,actual,12667
07/05/2024 05:35,actual,12682
07/05/2024 05:40,actual,12713
07/05/2024 05:45,actual,12734
07/05/2024 05:50,actual,12773
07/05/2024 05:55,actual,12831
07/05/2024 06:00,actual,12928
07/05/2024 06:05,actual,13056
07/05/2024 06:10,actual,13117
07/05/2024 06:15,actual,13209
07/05/2024 06:20,actual,13251
07/05/2024 06:25,actual,13276
07/05/2024 06:30,actual,13288
07/05/2024 06:35,actual,13345
07/05/2024 06:40,actual,13385
07/05/2024 06:45,actual,13386
07/05/2024 06:50,actual,13454
07/05/2024 06:55,actual,13488
07/05/2024 07:00,actual,13607
07/05/2024 07:05,actual,13713
07/05/2024 07:10,actual,13754
07/05/2024 07:15,actual,13830
07/05/2024 07:20,actual,13825
07/05/2024 07:25,actual,13895
07/05/2024 07:30,actual,13933
07/05/2024 07:35,actual,13952
07/05/2024 07:40,actual,14010
07/05/2024 07:45,actual,14044
07/05/2024 07:50,actual,14076
07/05/2024 07:55,actual,14138
07/05/2024 08:00,actual,14188
07/05/2024 08:05,actual,14315
07/05/2024 08:10,actual,14362
07/05/2024 08:15,actual,14379
07/05/2024 08:20,actual,14399
07/05/2024 08:25,actual,14399
07/05/2024 08:30,actual,14464
07/05/2024 08:35,actual,14450
07/05/2024 08:40,actual,14462
07/05/2024 08:45,actual,14499
07/05/2024 08:50,actual,14533
07/05/2024 08:55,actual,14553
07/05/2024 09:00,actual,14683
07/05/2024 09:05,actual,14709
07/05/2024 09:10,actual,14742
07/05/2024 09:15,actual,14745
07/05/2024 09:20,actual,14763
07/05/2024 09:25,actual,14813
07/05/2024 09:30,actual,14864
07/05/2024 09:35,actual,14868
07/05/2024 09:40,actual,14911
07/05/2024 09:45,actual,14926
07/05/2024 09:50,actual,14995
07/05/2024 09:55,actual,15046
07/05/2024 10:00,actual,15090
07/05/2024 10:05,actual,15197
07/05/2024 10:10,actual,15231
07/05/2024 10:15,actual,15257
07/05/2024 10:20,actual,15215
07/05/2024 10:25,actual,15288
07/05/2024 10:30,actual,15288
07/05/2024 10:35,actual,15304
07/05/2024 10:40,actual,15360
07/05/2024 10:45,actual,15408
07/05/2024 10:50,actual,15429
07/05/2024 10:55,actual,15470
07/05/2024 11:00,actual,15458
07/05/2024 11:05,actual,15501
07/05/2024 11:10,actual,15530
07/05/2024 11:15,actual,15559
07/05/2024 11:20,actual,15536
07/05/2024 11:25,actual,15586
07/05/2024 11:30,actual,15594
07/05/2024 11:35,actual,15586
07/05/2024 11:40,actual,15564
07/05/2024 11:45,actual,15550
07/05/2024 11:50,actual,15628
07/05/2024 11:55,actual,15612
07/05/2024 12:00,actual,15655
07/05/2024 12:05,actual,15682
07/05/2024 12:10,actual,15679
07/05/2024 12:15,actual,15731
07/05/2024 12:20,actual,15729
07/05/2024 12:25,actual,15776
07/05/2024 12:30,actual,15745
07/05/2024 12:35,actual,15780
07/05/2024 12:40,actual,15804
07/05/2024 12:45,actual,15880
07/05/2024 12:50,actual,15892
07/05/2024 12:55,actual,15928
07/05/2024 13:00,actual,15948
07/05/2024 13:05,actual,16033
07/05/2024 13:10,actual,16036
07/05/2024 13:15,actual,16111
07/05/2024 13:20,actual,16121
07/05/2024 13:25,actual,16175
07/05/2024 13:30,actual,16207
07/05/2024 13:35,actual,16246
07/05/2024 13:40,actual,16318
07/05/2024 13:45,actual,16333
07/05/2024 13:50,actual,16377
07/05/2024 13:55,actual,16398
07/05/2024 14:00,actual,16491
07/05/2024 14:05,actual,16537
07/05/2024 14:10,actual,16695
07/05/2024 14:15,actual,16746
07/05/2024 14:20,actual,16869
07/05/2024 14:25,actual,16911
07/05/2024 14:30,actual,17026
07/05/2024 14:35,actual,17066
07/05/2024 14:40,actual,17158
07/05/2024 14:45,actual,17230
07/05/2024 14:50,actual,17338
07/05/2024 14:55,actual,17406
07/05/2024 15:00,actual,17529
07/05/2024 15:05,actual,17620
07/05/2024 15:10,actual,17697
07/05/2024 15:15,actual,17775
07/05/2024 15:20,actual,17788
07/05/2024 15:25,actual,17919
07/05/2024 15:30,actual,18026
07/05/2024 15:35,actual,18118
07/05/2024 15:40,actual,18209
07/05/2024 15:45,actual,18274
07/05/2024 15:50,actual,18421
07/05/2024 15:55,actual,18510
07/05/2024 16:00,actual,18606
07/05/2024 16:05,actual,18657
07/05/2024 16:10,actual,18740
07/05/2024 16:15,actual,18851
07/05/2024 16:20,actual,18861
07/05/2024 16:25,actual,18964
07/05/2024 16:30,actual,19053
07/05/2024 16:35,actual,19096
07/05/2024 16:40,actual,19234
07/05/2024 16:45,actual,19285
07/05/2024 16:50,actual,19402
07/05/2024 16:55,actual,19459
07/05/2024 17:00,actual,19425
07/05/2024 17:05,actual,19469
07/05/2024 17:10,actual,19526
07/05/2024 17:15,actual,19650
07/05/2024 17:20,actual,19691
07/05/2024 17:25,actual,19761
07/05/2024 17:30,actual,19744
07/05/2024 17:35,actual,19784
07/05/2024 17:40,actual,19843
07/05/2024 17:45,actual,19877
07/05/2024 17:50,actual,19957
07/05/2024 17:55,actual,19940
07/05/2024 18:00,actual,19856
07/05/2024 18:05,actual,19774
07/05/2024 18:10,actual,19776
07/05/2024 18:15,actual,19744
07/05/2024 18:20,actual,19743
07/05/2024 18:25,actual,19762
07/05/2024 18:30,actual,19678
07/05/2024 18:35,actual,19563
07/05/2024 18:40,actual,19630
07/05/2024 18:45,actual,19530
07/05/2024 18:50,actual,19548
07/05/2024 18:55,actual,19531
07/05/2024 19:00,actual,19530
07/05/2024 19:05,actual,19514
07/05/2024 19:10,actual,19415
07/05/2024 19:15,actual,19428
07/05/2024 19:20,actual,19375
07/05/2024 19:25,actual,19311
07/05/2024 19:30,actual,19265
07/05/2024 19:35,actual,19231
07/05/2024 19:40,actual,19155
07/05/2024 19:45,actual,19133
07/05/2024 19:50,actual,19078
07/05/2024 19:55,actual,19041
07/05/2024 20:00,actual,18966
07/05/2024 20:05,actual,18939
07/05/2024 20:10,actual,18905
07/05/2024 20:15,actual,18890
07/05/2024 20:20,actual,18880
07/05/2024 20:25,actual,18866
07/05/2024 20:30,actual,18864
07/05/2024 20:35,actual,18842
07/05/2024 20:40,actual,18811
07/05/2024 20:45,actual,18755
07/05/2024 20:50,actual,18700
07/05/2024 20:55,actual,18617
07/05/2024 21:00,actual,18529
07/05/2024 21:05,actual,18433
07/05/2024 21:10,actual,18392
07/05/2024 21:15,actual,18344
07/05/2024 21:20,actual,18250
07/05/2024 21:25,actual,18163
07/05/2024 21:30,actual,18106
07/05/2024 21:35,actual,18008
07/05/2024 21:40,actual,17923
07/05/2024 21:45,actual,17868
07/05/2024 21:50,actual,17760
07/05/2024 21:55,actual,17642
07/05/2024 22:00,actual,17561
07/05/2024 22:05,actual,17400
07/05/2024 22:10,actual,17339
07/05/2024 22:15,actual,17228
07/05/2024 22:20,actual,17119
07/05/2024 22:25,actual,17027
