BeginDate,Type,Mw
07/07/2024 00:30,forecast,15030
07/07/2024 01:30,forecast,14210
07/07/2024 02:30,forecast,13650
07/07/2024 03:30,forecast,13280
07/07/2024 04:30,forecast,13090
07/07/2024 05:30,forecast,12970
07/07/2024 06:30,forecast,13000
07/07/2024 07:30,forecast,13280
07/07/2024 08:30,forecast,13660
07/07/2024 09:30,forecast,14070
07/07/2024 10:30,forecast,14710
07/07/2024 11:30,forecast,15580
07/07/2024 12:30,forecast,16240
07/07/2024 13:30,forecast,16750
07/07/2024 14:30,forecast,17440
07/07/2024 15:30,forecast,18210
07/07/2024 16:30,forecast,19460
07/07/2024 17:30,forecast,20770
07/07/2024 18:30,forecast,21470
07/07/2024 19:30,forecast,21400
07/07/2024 20:30,forecast,20660
07/07/2024 21:30,forecast,19530
07/07/2024 22:30,forecast,18280
07/07/2024 23:30,forecast,16690
07/07/2024 00:00,actual,15456
07/07/2024 00:05,actual,15378
07/07/2024 00:10,actual,15301
07/07/2024 00:15,actual,15218
07/07/2024 00:20,actual,15125
07/07/2024 00:25,actual,15021
07/07/2024 00:30,actual,14946
07/07/2024 00:35,actual,14882
07/07/2024 00:40,actual,14806
07/07/2024 00:45,actual,14716
07/07/2024 00:50,actual,14662
07/07/2024 00:55,actual,14581
07/07/2024 01:00,actual,14510
07/07/2024 01:05,actual,14501
07/07/2024 01:10,actual,14460
07/07/2024 01:15,actual,14339
07/07/2024 01:20,actual,14274
07/07/2024 01:25,actual,14186
07/07/2024 01:30,actual,14155
07/07/2024 01:35,actual,14066
07/07/2024 01:40,actual,14019
07/07/2024 01:45,actual,13994
07/07/2024 01:50,actual,13938
07/07/2024 01:55,actual,13896
07/07/2024 02:00,actual,13870
07/07/2024 02:05,actual,13813
07/07/2024 02:10,actual,13780
07/07/2024 02:15,actual,13725
07/07/2024 02:20,actual,13681
07/07/2024 02:25,actual,13628
07/07/2024 02:30,actual,13605
07/07/2024 02:35,actual,13562
07/07/2024 02:40,actual,13523
07/07/2024 02:45,actual,13482
07/07/2024 02:50,actual,13448
07/07/2024 02:55,actual,13429
07/07/2024 03:00,actual,13377
07/07/2024 03:05,actual,13383
07/07/2024 03:10,actual,13352
07/07/2024 03:15,actual,13322
07/07/2024 03:20,actual,13276
07/07/2024 03:25,actual,13253
07/07/2024 03:30,actual,13230
07/07/2024 03:35,actual,13216
07/07/2024 03:40,actual,13171
07/07/2024 03:45,actual,13173
07/07/2024 03:50,actual,13119
07/07/2024 03:55,actual,13105
07/07/2024 04:00,actual,13103
07/07/2024 04:05,actual,13075
07/07/2024 04:10,actual,13097
07/07/2024 04:15,actual,13073
07/07/2024 04:20,actual,13056
07/07/2024 04:25,actual,13048
07/07/2024 04:30,actual,13056
07/07/2024 04:35,actual,13038
07/07/2024 04:40,actual,13014
07/07/2024 04:45,actual,13031
07/07/2024 04:50,actual,12999
07/07/2024 04:55,actual,12989
07/07/2024 05:00,actual,13027
07/07/2024 05:05,actual,13030
07/07/2024 05:10,actual,13016
07/07/2024 05:15,actual,12990
07/07/2024 05:20,actual,12953
07/07/2024 05:25,actual,12943
07/07/2024 05:30,actual,12929
07/07/2024 05:35,actual,12930
07/07/2024 05:40,actual,12910
07/07/2024 05:45,actual,12901
07/07/2024 05:50,actual,12864
07/07/2024 05:55,actual,12888
07/07/2024 06:00,actual,12914
07/07/2024 06:05,actual,12955
07/07/2024 06:10,actual,12945
07/07/2024 06:15,actual,12962
07/07/2024 06:20,actual,12957
07/07/2024 06:25,actual,12989
07/07/2024 06:30,actual,12966
07/07/2024 06:35,actual,12979
07/07/2024 06:40,actual,12968
07/07/2024 06:45,actual,12992
07/07/2024 06:50,actual,13022
07/07/2024 06:55,actual,13017
07/07/2024 07:00,actual,13088
07/07/2024 07:05,actual,13156
07/07/2024 07:10,actual,13189
07/07/2024 07:15,actual,13192
07/07/2024 07:20,actual,13253
07/07/2024 07:25,actual,13246
07/07/2024 07:30,actual,13276
07/07/2024 07:35,actual,13278
07/07/2024 07:40,actual,13300
07/07/2024 07:45,actual,13322
07/07/2024 07:50,actual,13347
07/07/2024 07:55,actual,13350
07/07/2024 08:00,actual,13394
07/07/2024 08:05,actual,13475
07/07/2024 08:10,actual,13519
07/07/2024 08:15,actual,13533
07/07/2024 08:20,actual,13539
07/07/2024 08:25,actual,13608
07/07/2024 08:30,actual,13629
07/07/2024 08:35,actual,13651
07/07/2024 08:40,actual,13702
07/07/2024 08:45,actual,13780
07/07/2024 08:50,actual,13782
07/07/2024 08:55,actual,13848
07/07/2024 09:00,actual,13860
07/07/2024 09:05,actual,13905
07/07/2024 09:10,actual,13915
07/07/2024 09:15,actual,13968
07/07/2024 09:20,actual,13950
07/07/2024 09:25,actual,13986
07/07/2024 09:30,actual,14009
07/07/2024 09:35,actual,14027
07/07/2024 09:40,actual,14033
07/07/2024 09:45,actual,14173
07/07/2024 09:50,actual,14173
07/07/2024 09:55,actual,14231
07/07/2024 10:00,actual,14247
07/07/2024 10:05,actual,14306
07/07/2024 10:10,actual,14443
07/07/2024 10:15,actual,14512
07/07/2024 10:20,actual,14634
07/07/2024 10:25,actual,14616
07/07/2024 10:30,actual,14691
07/07/2024 10:35,actual,14787
07/07/2024 10:40,actual,14812
07/07/2024 10:45,actual,14878
07/07/2024 10:50,actual,14943
07/07/2024 10:55,actual,15071
07/07/2024 11:00,actual,15104
07/07/2024 11:05,actual,15202
07/07/2024 11:10,actual,15291
07/07/2024 11:15,actual,15344
07/07/2024 11:20,actual,15392
07/07/2024 11:25,actual,15491
07/07/2024 11:30,actual,15549
07/07/2024 11:35,actual,15604
07/07/2024 11:40,actual,15636
07/07/2024 11:45,actual,15756
07/07/2024 11:50,actual,15814
07/07/2024 11:55,actual,15966
07/07/2024 12:00,actual,16008
07/07/2024 12:05,actual,16056
07/07/2024 12:10,actual,16122
07/07/2024 12:15,actual,16121
07/07/2024 12:20,actual,16183
07/07/2024 12:25,actual,16197
07/07/2024 12:30,actual,16224
07/07/2024 12:35,actual,16196
07/07/2024 12:40,actual,16268
07/07/2024 12:45,actual,16263
07/07/2024 12:50,actual,16328
07/07/2024 12:55,actual,16340
07/07/2024 13:00,actual,16396
07/07/2024 13:05,actual,16423
07/07/2024 13:10,actual,16486
07/07/2024 13:15,actual,16522
07/07/2024 13:20,actual,16577
07/07/2024 13:25,actual,16632
07/07/2024 13:30,actual,16715
07/07/2024 13:35,actual,16762
07/07/2024 13:40,actual,16796
07/07/2024 13:45,actual,16864
07/07/2024 13:50,actual,16988
07/07/2024 13:55,actual,17064
07/07/2024 14:00,actual,17113
07/07/2024 14:05,actual,17111
07/07/2024 14:10,actual,17228
07/07/2024 14:15,actual,17259
07/07/2024 14:20,actual,17313
07/07/2024 14:25,actual,17440
07/07/2024 14:30,actual,17477
07/07/2024 14:35,actual,17498
07/07/2024 14:40,actual,17476
07/07/2024 14:45,actual,17532
07/07/2024 14:50,actual,17580
07/07/2024 14:55,actual,17681
07/07/2024 15:00,actual,17727
07/07/2024 15:05,actual,17820
07/07/2024 15:10,actual,17860
07/07/2024 15:15,actual,17913
07/07/2024 15:20,actual,18049
07/07/2024 15:25,actual,18067
07/07/2024 15:30,actual,18153
07/07/2024 15:35,actual,18242
07/07/2024 15:40,actual,18314
07/07/2024 15:45,actual,18418
07/07/2024 15:50,actual,18446
07/07/2024 15:55,actual,18583
07/07/2024 16:00,actual,18677
07/07/2024 16:05,actual,18818
07/07/2024 16:10,actual,18968
07/07/2024 16:15,actual,19093
07/07/2024 16:20,actual,19202
07/07/2024 16:25,actual,19308
07/07/2024 16:30,actual,19456
07/07/2024 16:35,actual,19553
07/07/2024 16:40,actual,19710
07/07/2024 16:45,actual,19854
07/07/2024 16:50,actual,19904
07/07/2024 16:55,actual,19980
07/07/2024 17:00,actual,20154
07/07/2024 17:05,actual,20184
07/07/2024 17:10,actual,20314
07/07/2024 17:15,actual,20474
07/07/2024 17:20,actual,20604
07/07/2024 17:25,actual,20678
07/07/2024 17:30,actual,20760
07/07/2024 17:35,actual,20880
07/07/2024 17:40,actual,20971
07/07/2024 17:45,actual,21096
07/07/2024 17:50,actual,21160
07/07/2024 17:55,actual,21210
07/07/2024 18:00,actual,21211
07/07/2024 18:05,actual,21266
07/07/2024 18:10,actual,21335
07/07/2024 18:15,actual,21396
07/07/2024 18:20,actual,21459
07/07/2024 18:25,actual,21501
07/07/2024 18:30,actual,21456
07/07/2024 18:35,actual,21449
07/07/2024 18:40,actual,21464
07/07/2024 18:45,actual,21459
07/07/2024 18:50,actual,21489
07/07/2024 18:55,actual,21515
07/07/2024 19:00,actual,21527
07/07/2024 19:05,actual,21530
07/07/2024 19:10,actual,21527
07/07/2024 19:15,actual,21518
07/07/2024 19:20,actual,21494
07/07/2024 19:25,actual,21459
07/07/2024 19:30,actual,21377
07/07/2024 19:35,actual,21357
07/07/2024 19:40,actual,21280
07/07/2024 19:45,actual,21228
07/07/2024 19:50,actual,21182
07/07/2024 19:55,actual,21137
07/07/2024 20:00,actual,21063
07/07/2024 20:05,actual,21036
07/07/2024 20:10,actual,20953
07/07/2024 20:15,actual,20889
07/07/2024 20:20,actual,20861
07/07/2024 20:25,actual,20791
07/07/2024 20:30,actual,20747
07/07/2024 20:35,actual,20720
07/07/2024 20:40,actual,20716
07/07/2024 20:45,actual,20673
07/07/2024 20:50,actual,20627
07/07/2024 20:55,actual,20573
07/07/2024 21:00,actual,20462
07/07/2024 21:05,actual,20400
07/07/2024 21:10,actual,20277
07/07/2024 21:15,actual,20191
07/07/2024 21:20,actual,20092
07/07/2024 21:25,actual,19961
07/07/2024 21:30,actual,19868
07/07/2024 21:35,actual,19732
07/07/2024 21:40,actual,19607
07/07/2024 21:45,actual,19491
07/07/2024 21:50,actual,19389
07/07/2024 21:55,actual,19226
07/07/2024 22:00,actual,19093
07/07/2024 22:05,actual,18915
07/07/2024 22:10,actual,18763
07/07/2024 22:15,actual,18628
07/07/2024 22:20,actual,18490
07/07/2024 22:25,actual,18342
07/07/2024 22:30,actual,18240
07/07/2024 22:35,actual,18095
07/07/2024 22:40,actual,17980
07/07/2024 22:45,actual,17801
07/07/2024 22:50,actual,17653
07/07/2024 22:55,actual,17519
07/07/2024 23:00,actual,17359
07/07/2024 23:05,actual,17194
07/07/2024 23:10,actual,17107
07/07/2024 23:15,actual,17000
07/07/2024 23:20,actual,16850
07/07/2024 23:25,actual,16683
07/07/2024 23:30,actual,16574
07/07/2024 23:35,actual,16447
07/07/2024 23:40,actual,16326
07/07/2024 23:45,actual,16213
07/07/2024 23:50,actual,16123
07/07/2024 23:55,actual,16002
