BeginDate,Type,Mw
06/25/2024 00:30,forecast,12270
06/25/2024 01:30,forecast,11580
06/25/2024 02:30,forecast,11160
06/25/2024 03:30,forecast,10930
06/25/2024 04:30,forecast,11010
06/25/2024 05:30,forecast,11710
06/25/2024 06:30,forecast,12560
06/25/2024 07:30,forecast,13180
06/25/2024 08:30,forecast,13010
06/25/2024 09:30,forecast,12360
06/25/2024 10:30,forecast,12580
06/25/2024 11:30,forecast,13000
06/25/2024 12:30,forecast,13690
06/25/2024 13:30,forecast,14700
06/25/2024 14:30,forecast,15490
06/25/2024 15:30,forecast,17000
06/25/2024 16:30,forecast,18310
06/25/2024 17:30,forecast,19620
06/25/2024 18:30,forecast,19800
06/25/2024 19:30,forecast,19450
06/25/2024 20:30,forecast,18830
06/25/2024 21:30,forecast,17940
06/25/2024 22:30,forecast,16300
06/25/2024 23:30,forecast,14750
06/25/2024 00:00,actual,12683
06/25/2024 00:05,actual,12569
06/25/2024 00:10,actual,12503
06/25/2024 00:15,actual,12459
06/25/2024 00:20,actual,12362
06/25/2024 00:25,actual,12287
06/25/2024 00:30,actual,12222
06/25/2024 00:35,actual,12187
06/25/2024 00:40,actual,12074
06/25/2024 00:45,actual,12040
06/25/2024 00:50,actual,11977
06/25/2024 00:55,actual,11906
06/25/2024 01:00,actual,11848
06/25/2024 01:05,actual,11791
06/25/2024 01:10,actual,11747
06/25/2024 01:15,actual,11704
06/25/2024 01:20,actual,11610
06/25/2024 01:25,actual,11592
06/25/2024 01:30,actual,11541
06/25/2024 01:35,actual,11484
06/25/2024 01:40,actual,11444
06/25/2024 01:45,actual,11430
06/25/2024 01:50,actual,11383
06/25/2024 01:55,actual,11346
06/25/2024 02:00,actual,11320
06/25/2024 02:05,actual,11276
06/25/2024 02:10,actual,11271
06/25/2024 02:15,actual,11233
06/25/2024 02:20,actual,11173
06/25/2024 02:25,actual,11181
06/25/2024 02:30,actual,11109
06/25/2024 02:35,actual,11089
06/25/2024 02:40,actual,11034
06/25/2024 02:45,actual,11022
06/25/2024 02:50,actual,10996
06/25/2024 02:55,actual,10991
06/25/2024 03:00,actual,10983
06/25/2024 03:05,actual,10963
06/25/2024 03:10,actual,10943
06/25/2024 03:15,actual,10930
06/25/2024 03:20,actual,10918
06/25/2024 03:25,actual,10914
06/25/2024 03:30,actual,10905
06/25/2024 03:35,actual,10858
06/25/2024 03:40,actual,10857
06/25/2024 03:45,actual,10833
06/25/2024 03:50,actual,10846
06/25/2024 03:55,actual,10834
06/25/2024 04:00,actual,10862
06/25/2024 04:05,actual,10896
06/25/2024 04:10,actual,10907
06/25/2024 04:15,actual,10918
06/25/2024 04:20,actual,10923
06/25/2024 04:25,actual,10915
06/25/2024 04:30,actual,10957
06/25/2024 04:35,actual,10969
06/25/2024 04:40,actual,11004
06/25/2024 04:45,actual,11023
06/25/2024 04:50,actual,11038
06/25/2024 04:55,actual,11074
06/25/2024 05:00,actual,11114
06/25/2024 05:05,actual,11201
06/25/2024 05:10,actual,11249
06/25/2024 05:15,actual,11281
06/25/2024 05:20,actual,11289
06/25/2024 05:25,actual,11336
06/25/2024 05:30,actual,11359
06/25/2024 05:35,actual,11424
06/25/2024 05:40,actual,11484
06/25/2024 05:45,actual,11524
06/25/2024 05:50,actual,11604
06/25/2024 05:55,actual,11687
06/25/2024 06:00,actual,11784
06/25/2024 06:05,actual,11896
06/25/2024 06:10,actual,12046
06/25/2024 06:15,actual,12164
06/25/2024 06:20,actual,12190
06/25/2024 06:25,actual,12220
06/25/2024 06:30,actual,12281
06/25/2024 06:35,actual,12389
06/25/2024 06:40,actual,12381
06/25/2024 06:45,actual,12403
06/25/2024 06:50,actual,12463
06/25/2024 06:55,actual,12533
06/25/2024 07:00,actual,12610
06/25/2024 07:05,actual,12685
06/25/2024 07:10,actual,12778
06/25/2024 07:15,actual,12789
06/25/2024 07:20,actual,12831
06/25/2024 07:25,actual,12798
06/25/2024 07:30,actual,12790
06/25/2024 07:35,actual,12828
06/25/2024 07:40,actual,12781
06/25/2024 07:45,actual,12805
