BeginDate,Type,Mw
06/28/2024 00:30,forecast,11820
06/28/2024 01:30,forecast,11220
06/28/2024 02:30,forecast,10730
06/28/2024 03:30,forecast,10390
06/28/2024 04:30,forecast,10500
06/28/2024 05:30,forecast,10690
06/28/2024 06:30,forecast,11120
06/28/2024 07:30,forecast,11230
06/28/2024 08:30,forecast,10590
06/28/2024 09:30,forecast,9760
06/28/2024 10:30,forecast,9540
06/28/2024 11:30,forecast,9510
06/28/2024 12:30,forecast,9720
06/28/2024 13:30,forecast,10090
06/28/2024 14:30,forecast,10780
06/28/2024 15:30,forecast,11720
06/28/2024 16:30,forecast,13240
06/28/2024 17:30,forecast,14430
06/28/2024 18:30,forecast,15020
06/28/2024 19:30,forecast,14660
06/28/2024 20:30,forecast,14490
06/28/2024 21:30,forecast,14030
06/28/2024 22:30,forecast,13030
06/28/2024 23:30,forecast,11930
06/28/2024 00:00,actual,12496
06/28/2024 00:05,actual,12451
06/28/2024 00:10,actual,12360
06/28/2024 00:15,actual,12251
06/28/2024 00:20,actual,12150
06/28/2024 00:25,actual,12065
06/28/2024 00:30,actual,11959
06/28/2024 00:35,actual,11878
06/28/2024 00:40,actual,11799
06/28/2024 00:45,actual,11731
06/28/2024 00:50,actual,11689
06/28/2024 00:55,actual,11585
06/28/2024 01:00,actual,11511
06/28/2024 01:05,actual,11459
06/28/2024 01:10,actual,11390
06/28/2024 01:15,actual,11346
06/28/2024 01:20,actual,11277
06/28/2024 01:25,actual,11207
06/28/2024 01:30,actual,11154
06/28/2024 01:35,actual,11115
06/28/2024 01:40,actual,11069
06/28/2024 01:45,actual,11031
06/28/2024 01:50,actual,10993
06/28/2024 01:55,actual,10918
06/28/2024 02:00,actual,10876
06/28/2024 02:05,actual,10851
06/28/2024 02:10,actual,10810
06/28/2024 02:15,actual,10758
06/28/2024 02:20,actual,10724
06/28/2024 02:25,actual,10697
06/28/2024 02:30,actual,10680
06/28/2024 02:35,actual,10620
06/28/2024 02:40,actual,10598
06/28/2024 02:45,actual,10528
06/28/2024 02:50,actual,10512
06/28/2024 02:55,actual,10478
06/28/2024 03:00,actual,10484
06/28/2024 03:05,actual,10469
06/28/2024 03:10,actual,10457
06/28/2024 03:15,actual,10413
06/28/2024 03:20,actual,10411
06/28/2024 03:25,actual,10376
06/28/2024 03:30,actual,10366
06/28/2024 03:35,actual,10321
