BeginDate,Type,Mw
07/11/2024 00:30,forecast,16560
07/11/2024 01:30,forecast,15840
07/11/2024 02:30,forecast,15410
07/11/2024 03:30,forecast,15160
07/11/2024 04:30,forecast,15300
07/11/2024 05:30,forecast,15920
07/11/2024 06:30,forecast,16990
07/11/2024 07:30,forecast,18050
07/11/2024 08:30,forecast,18580
07/11/2024 09:30,forecast,18670
07/11/2024 10:30,forecast,18750
07/11/2024 11:30,forecast,18790
07/11/2024 12:30,forecast,19000
07/11/2024 13:30,forecast,19400
07/11/2024 14:30,forecast,20050
07/11/2024 15:30,forecast,20710
07/11/2024 16:30,forecast,21570
07/11/2024 17:30,forecast,22070
07/11/2024 18:30,forecast,22270
07/11/2024 19:30,forecast,21840
07/11/2024 20:30,forecast,21170
07/11/2024 21:30,forecast,20120
07/11/2024 22:30,forecast,18790
07/11/2024 23:30,forecast,17220
07/11/2024 00:00,actual,16953
07/11/2024 00:05,actual,16878
07/11/2024 00:10,actual,16830
07/11/2024 00:15,actual,16720
07/11/2024 00:20,actual,16630
07/11/2024 00:25,actual,16599
07/11/2024 00:30,actual,16482
07/11/2024 00:35,actual,16404
07/11/2024 00:40,actual,16334
07/11/2024 00:45,actual,16282
07/11/2024 00:50,actual,16210
07/11/2024 00:55,actual,16130
07/11/2024 01:00,actual,16091
07/11/2024 01:05,actual,16000
07/11/2024 01:10,actual,15970
07/11/2024 01:15,actual,15913
07/11/2024 01:20,actual,15875
07/11/2024 01:25,actual,15824
07/11/2024 01:30,actual,15795
07/11/2024 01:35,actual,15750
07/11/2024 01:40,actual,15712
07/11/2024 01:45,actual,15664
07/11/2024 01:50,actual,15606
07/11/2024 01:55,actual,15561
07/11/2024 02:00,actual,15534
07/11/2024 02:05,actual,15535
07/11/2024 02:10,actual,15458
07/11/2024 02:15,actual,15460
07/11/2024 02:20,actual,15433
07/11/2024 02:25,actual,15376
07/11/2024 02:30,actual,15348
07/11/2024 02:35,actual,15327
07/11/2024 02:40,actual,15297
07/11/2024 02:45,actual,15251
07/11/2024 02:50,actual,15249
07/11/2024 02:55,actual,15245
07/11/2024 03:00,actual,15202
07/11/2024 03:05,actual,15187
07/11/2024 03:10,actual,15219
07/11/2024 03:15,actual,15191
07/11/2024 03:20,actual,15172
07/11/2024 03:25,actual,15147
07/11/2024 03:30,actual,15121
07/11/2024 03:35,actual,15137
07/11/2024 03:40,actual,15106
07/11/2024 03:45,actual,15087
07/11/2024 03:50,actual,15080
07/11/2024 03:55,actual,15085
07/11/2024 04:00,actual,15133
07/11/2024 04:05,actual,15179
07/11/2024 04:10,actual,15200
07/11/2024 04:15,actual,15224
07/11/2024 04:20,actual,15252
07/11/2024 04:25,actual,15250
07/11/2024 04:30,actual,15276
07/11/2024 04:35,actual,15299
07/11/2024 04:40,actual,15318
07/11/2024 04:45,actual,15369
07/11/2024 04:50,actual,15385
07/11/2024 04:55,actual,15414
07/11/2024 05:00,actual,15520
07/11/2024 05:05,actual,15610
07/11/2024 05:10,actual,15685
07/11/2024 05:15,actual,15773
07/11/2024 05:20,actual,15848
07/11/2024 05:25,actual,15848
07/11/2024 05:30,actual,15894
07/11/2024 05:35,actual,15921
07/11/2024 05:40,actual,16018
07/11/2024 05:45,actual,16028
07/11/2024 05:50,actual,16121
07/11/2024 05:55,actual,16152
07/11/2024 06:00,actual,16314
07/11/2024 06:05,actual,16507
07/11/2024 06:10,actual,16625
07/11/2024 06:15,actual,16717
07/11/2024 06:20,actual,16862
07/11/2024 06:25,actual,16891
07/11/2024 06:30,actual,17003
07/11/2024 06:35,actual,17055
07/11/2024 06:40,actual,17147
07/11/2024 06:45,actual,17228
07/11/2024 06:50,actual,17337
07/11/2024 06:55,actual,17435
07/11/2024 07:00,actual,17555
07/11/2024 07:05,actual,17647
07/11/2024 07:10,actual,17781
