BeginDate,Type,Mw
06/30/2024 00:30,forecast,12710
06/30/2024 01:30,forecast,11920
06/30/2024 02:30,forecast,11690
06/30/2024 03:30,forecast,11580
06/30/2024 04:30,forecast,11500
06/30/2024 05:30,forecast,11620
06/30/2024 06:30,forecast,11920
06/30/2024 07:30,forecast,12450
06/30/2024 08:30,forecast,13030
06/30/2024 09:30,forecast,13400
06/30/2024 10:30,forecast,13900
06/30/2024 11:30,forecast,15290
06/30/2024 12:30,forecast,15610
06/30/2024 13:30,forecast,17230
06/30/2024 14:30,forecast,17710
06/30/2024 15:30,forecast,18150
06/30/2024 16:30,forecast,18550
06/30/2024 17:30,forecast,18740
06/30/2024 18:30,forecast,18870
06/30/2024 19:30,forecast,18330
06/30/2024 20:30,forecast,17690
06/30/2024 21:30,forecast,16990
06/30/2024 22:30,forecast,15530
06/30/2024 23:30,forecast,14100
06/30/2024 00:00,actual,12653
06/30/2024 00:05,actual,12576
06/30/2024 00:10,actual,12564
06/30/2024 00:15,actual,12513
06/30/2024 00:20,actual,12509
06/30/2024 00:25,actual,12432
06/30/2024 00:30,actual,12372
06/30/2024 00:35,actual,12331
06/30/2024 00:40,actual,12257
06/30/2024 00:45,actual,12249
06/30/2024 00:50,actual,12185
06/30/2024 00:55,actual,12204
06/30/2024 01:00,actual,12133
06/30/2024 01:05,actual,12106
06/30/2024 01:10,actual,12052
06/30/2024 01:15,actual,12023
06/30/2024 01:20,actual,12003
06/30/2024 01:25,actual,11969
06/30/2024 01:30,actual,11986
06/30/2024 01:35,actual,11935
06/30/2024 01:40,actual,11902
06/30/2024 01:45,actual,11864
06/30/2024 01:50,actual,11860
06/30/2024 01:55,actual,11832
06/30/2024 02:00,actual,11795
06/30/2024 02:05,actual,11784
06/30/2024 02:10,actual,11755
06/30/2024 02:15,actual,11726
06/30/2024 02:20,actual,11736
06/30/2024 02:25,actual,11721
06/30/2024 02:30,actual,11691
06/30/2024 02:35,actual,11670
06/30/2024 02:40,actual,11646
06/30/2024 02:45,actual,11635
06/30/2024 02:50,actual,11605
06/30/2024 02:55,actual,11630
06/30/2024 03:00,actual,11584
06/30/2024 03:05,actual,11573
06/30/2024 03:10,actual,11590
06/30/2024 03:15,actual,11589
06/30/2024 03:20,actual,11545
06/30/2024 03:25,actual,11523
06/30/2024 03:30,actual,11523
06/30/2024 03:35,actual,11506
06/30/2024 03:40,actual,11510
06/30/2024 03:45,actual,11507
06/30/2024 03:50,actual,11504
06/30/2024 03:55,actual,11487
06/30/2024 04:00,actual,11497
06/30/2024 04:05,actual,11496
06/30/2024 04:10,actual,11521
06/30/2024 04:15,actual,11511
06/30/2024 04:20,actual,11540
06/30/2024 04:25,actual,11517
06/30/2024 04:30,actual,11530
06/30/2024 04:35,actual,11527
06/30/2024 04:40,actual,11531
06/30/2024 04:45,actual,11528
06/30/2024 04:50,actual,11551
06/30/2024 04:55,actual,11566
06/30/2024 05:00,actual,11616
06/30/2024 05:05,actual,11621
06/30/2024 05:10,actual,11646
06/30/2024 05:15,actual,11682
06/30/2024 05:20,actual,11656
06/30/2024 05:25,actual,11674
06/30/2024 05:30,actual,11643
06/30/2024 05:35,actual,11656
06/30/2024 05:40,actual,11679
06/30/2024 05:45,actual,11676
06/30/2024 05:50,actual,11685
06/30/2024 05:55,actual,11713
06/30/2024 06:00,actual,11747
06/30/2024 06:05,actual,11840
06/30/2024 06:10,actual,11852
06/30/2024 06:15,actual,11893
06/30/2024 06:20,actual,11910
06/30/2024 06:25,actual,11904
06/30/2024 06:30,actual,11917
06/30/2024 06:35,actual,11938
06/30/2024 06:40,actual,11964
06/30/2024 06:45,actual,11994
06/30/2024 06:50,actual,12002
