BeginDate,Type,Mw
07/09/2024 00:30,forecast,16500
07/09/2024 01:30,forecast,15550
07/09/2024 02:30,forecast,14890
07/09/2024 03:30,forecast,14500
07/09/2024 04:30,forecast,14480
07/09/2024 05:30,forecast,14900
07/09/2024 06:30,forecast,15770
07/09/2024 07:30,forecast,16520
07/09/2024 08:30,forecast,17230
07/09/2024 09:30,forecast,17830
07/09/2024 10:30,forecast,18730
07/09/2024 11:30,forecast,19350
07/09/2024 12:30,forecast,19280
07/09/2024 13:30,forecast,19550
07/09/2024 14:30,forecast,20650
07/09/2024 15:30,forecast,21450
07/09/2024 16:30,forecast,22490
07/09/2024 17:30,forecast,23200
07/09/2024 18:30,forecast,23600
07/09/2024 19:30,forecast,23220
07/09/2024 20:30,forecast,22180
07/09/2024 21:30,forecast,21050
07/09/2024 22:30,forecast,19550
07/09/2024 23:30,forecast,17950
07/09/2024 00:00,actual,17050
07/09/2024 00:05,actual,16904
07/09/2024 00:10,actual,16829
07/09/2024 00:15,actual,16745
07/09/2024 00:20,actual,16633
07/09/2024 00:25,actual,16579
07/09/2024 00:30,actual,16435
07/09/2024 00:35,actual,16351
07/09/2024 00:40,actual,16271
07/09/2024 00:45,actual,16172
07/09/2024 00:50,actual,16092
07/09/2024 00:55,actual,15998
07/09/2024 01:00,actual,15907
07/09/2024 01:05,actual,15857
07/09/2024 01:10,actual,15786
07/09/2024 01:15,actual,15717
07/09/2024 01:20,actual,15659
07/09/2024 01:25,actual,15565
07/09/2024 01:30,actual,15508
07/09/2024 01:35,actual,15446
07/09/2024 01:40,actual,15382
07/09/2024 01:45,actual,15339
07/09/2024 01:50,actual,15270
07/09/2024 01:55,actual,15197
07/09/2024 02:00,actual,15168
07/09/2024 02:05,actual,15081
07/09/2024 02:10,actual,15048
07/09/2024 02:15,actual,15000
07/09/2024 02:20,actual,14965
07/09/2024 02:25,actual,14893
07/09/2024 02:30,actual,14870
07/09/2024 02:35,actual,14805
07/09/2024 02:40,actual,14754
07/09/2024 02:45,actual,14722
07/09/2024 02:50,actual,14676
07/09/2024 02:55,actual,14652
07/09/2024 03:00,actual,14613
07/09/2024 03:05,actual,14578
07/09/2024 03:10,actual,14588
07/09/2024 03:15,actual,14560
07/09/2024 03:20,actual,14524
